,months_as_customer,age,policy_state_OH,policy_state_IN,policy_state_IL,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex_MALE,insured_sex_FEMALE,insured_education_level_PhD,insured_education_level_Masters,insured_education_level_MD,insured_education_level_JD,insured_education_level_High School,insured_education_level_College,insured_education_level_Associate,insured_occupation_transport-moving,insured_occupation_tech-support,insured_occupation_sales,insured_occupation_protective-serv,insured_occupation_prof-specialty,insured_occupation_priv-house-serv,insured_occupation_other-service,insured_occupation_machine-op-inspct,insured_occupation_handlers-cleaners,insured_occupation_farming-fishing,insured_occupation_exec-managerial,insured_occupation_craft-repair,insured_occupation_armed-forces,insured_occupation_adm-clerical,insured_hobbies_yachting,insured_hobbies_video-games,insured_hobbies_sleeping,insured_hobbies_skydiving,insured_hobbies_reading,insured_hobbies_polo,insured_hobbies_paintball,insured_hobbies_movies,insured_hobbies_kayaking,insured_hobbies_hiking,insured_hobbies_golf,insured_hobbies_exercise,insured_hobbies_dancing,insured_hobbies_cross-fit,insured_hobbies_chess,insured_hobbies_camping,insured_hobbies_bungie-jumping,insured_hobbies_board-games,insured_hobbies_basketball,insured_hobbies_base-jumping,insured_relationship_wife,insured_relationship_unmarried,insured_relationship_own-child,insured_relationship_other-relative,insured_relationship_not-in-family,insured_relationship_husband,capital-gains,capital-loss,incident_year,incident_type_Vehicle Theft,incident_type_Single Vehicle Collision,incident_type_Parked Car,incident_type_Multi-vehicle Collision,collision_type_Side Collision,collision_type_Rear Collision,collision_type_Front Collision,collision_type_?,incident_severity_Trivial Damage,incident_severity_Total Loss,incident_severity_Minor Damage,incident_severity_Major Damage,authorities_contacted_Police,authorities_contacted_Other,authorities_contacted_None,authorities_contacted_Fire,authorities_contacted_Ambulance,incident_state_WV,incident_state_VA,incident_state_SC,incident_state_PA,incident_state_OH,incident_state_NY,incident_state_NC,incident_hour_of_the_day,number_of_vehicles_involved,property_damage_YES,property_damage_NO,property_damage_?,bodily_injuries,witnesses,police_report_available_YES,police_report_available_NO,police_report_available_?,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make_Volkswagen,auto_make_Toyota,auto_make_Suburu,auto_make_Saab,auto_make_Nissan,auto_make_Mercedes,auto_make_Jeep,auto_make_Honda,auto_make_Ford,auto_make_Dodge,auto_make_Chevrolet,auto_make_BMW,auto_make_Audi,auto_make_Accura,policy_age_during_incident_in_days,bodily_injured_maximum_coverage_per_accident,complete_maximum_coverage_per_accident,car_age,auto_region_US,auto_region_Sweden,auto_region_Japan,auto_region_Germany,auto_type_Truck,auto_type_Sedan,auto_type_SUV,auto_type_Hatchback,auto_type_Coupe,fraud_reported
0,2.0746145016623627,1.7553860325288166,0,1,0,0.0,0.05005262850565188,0.4545454545454546,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.47619047619047616,-0.5742283194512494,2015,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.17391304347826086,0.0,0,1,0,0.0,0.0,0,1,0,-1.6833470057424118,-0.8306951135581555,-0.9085457271364318,-1.682084241937335,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.22312880765883378,0.375,0.28571428571428575,0.65,0,0,1,0,0,1,0,0,0,N
1,0.6215013216310241,0.6571543706667275,0,1,0,1.0,0.7847549198389753,0.09090909090909091,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.7817460317460317,-0.8368446839784419,2015,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.34782608695652173,0.6666666666666667,1,0,0,0.5,0.3333333333333333,0,0,1,0.21722723543888434,-0.1810048176187199,0.6026986506746627,0.2974865144037645,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9208006962576153,1.0,1.0,0.8500000000000001,0,0,0,0,0,0,1,0,0,N
2,1.8995406245501532,1.8652091987150254,0,1,0,0.0,2.8052276173483754,0.4545454545454546,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9821428571428571,-1.1739343459088682,2015,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.30434782608695654,0.0,0,0,1,1.0,1.0,0,0,1,1.1494667760459394,1.401927047487956,0.2593703148425787,1.1789280385630667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9918407310704961,0.0,0.0,0.55,0,0,0,1,0,0,0,0,1,Y
3,-1.750749713239414,-0.5509004573815703,1,0,0,0.0,0.1023776057563465,0.09090909090909091,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.41548260656540914,2015,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0,0,1,0.0,0.0,0,0,1,0.30123051681706314,-0.08189951823812801,0.8185907046476761,0.3158498794904166,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4680156657963446,1.0,1.0,0.9500000000000001,1,0,0,0,1,0,0,0,0,Y
4,0.46393483223003557,0.5473312044805186,1,0,0,0.3333333333333333,0.09389135549021352,0.09090909090909091,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.1785714285714286,-0.21558059774620283,2015,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.9130434782608695,0.0,0,1,0,0.0,0.3333333333333333,0,1,0,-0.3517637407711239,-0.9187887130075706,-0.22188905547226387,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.34279808529155786,0.0,0.0,0.65,0,0,0,0,0,1,0,0,0,N
5,-0.6040158181544422,-0.990193122126406,0,1,0,1.0,0.34375968039938254,0.09090909090909091,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7361111111111112,-0.49583537481626655,2015,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.7826086956521738,0.6666666666666667,0,1,0,0.0,0.3333333333333333,0,1,0,-0.8213289581624282,-0.10116999311768754,-0.5592203898050975,-0.8263514288993458,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2403176675369887,1.0,1.0,0.6000000000000001,0,0,1,0,0,1,0,0,0,N
6,-0.8666266338227563,-1.2098394544988238,1,0,0,0.0,-0.72790884101357,0.09090909090909091,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.41548260656540914,2015,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.5217391304347826,0.6666666666666667,0,1,0,1.0,0.6666666666666666,0,1,0,0.0918785890073831,0.7467309015829319,-0.09745127436281859,0.02708596350281189,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7617493472584856,0.375,0.28571428571428575,1.0,0,0,0,1,0,0,0,0,1,N
7,0.7615604233207917,0.7669775368529365,1,0,0,0.3333333333333333,-1.0906235962909292,0.09090909090909091,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,-0.6682998530132288,2015,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.34782608695652173,0.0,0,1,0,1.0,0.6666666666666666,1,0,0,-1.7102543068088598,-0.8334480385409497,-0.9115442278860569,-1.7178928038563066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3512837249782419,1.0,1.0,0.5,0,0,0,1,0,1,0,0,0,Y
8,0.2976146489734366,0.4375080382943098,1,0,0,0.3333333333333333,1.1021820761351173,0.4545454545454546,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,-0.46251837334639884,2015,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.9130434782608695,1.0,0,1,0,0.0,0.0,0,1,0,-0.4922067268252666,-0.3310392291810048,-0.36431784107946025,-0.34890393664639047,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7479329852045257,0.375,0.28571428571428575,1.0,0,1,0,0,0,0,0,1,0,Y
9,-0.12256265609586613,0.10803853973568307,1,0,0,1.0,-1.2128669964660082,0.09090909090909091,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.7321428571428571,-0.6369426751592356,2015,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.43478260869565216,0.0,0,0,1,1.0,0.3333333333333333,1,0,0,-1.686628383921247,-0.8320715760495526,-0.9100449775112444,-1.6857569149546654,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.32071366405570056,1.0,1.0,0.7000000000000001,0,0,1,0,0,1,0,0,0,N
